train_loss,train_runtime,loss,train_steps_per_second,step,epoch,total_flos,train_samples_per_second,learning_rate
,,0.0458,,1075,67.19,,,0.0
,,0.0455,,1080,67.5,,,0.0
,,0.046,,1085,67.81,,,0.0
,,0.0451,,1090,68.12,,,0.0
,,0.0467,,1095,68.44,,,0.0
,,0.0474,,1100,68.75,,,0.0
,,0.0435,,1105,69.06,,,0.0
,,0.0462,,1110,69.38,,,0.0
,,0.0476,,1115,69.69,,,0.0
,,0.0457,,1120,70.0,,,0.0
,,0.0467,,1125,70.31,,,0.0
,,0.0453,,1130,70.62,,,0.0
,,0.046,,1135,70.94,,,0.0
,,0.0474,,1140,71.25,,,0.0
,,0.0457,,1145,71.56,,,0.0
,,0.0464,,1150,71.88,,,0.0
,,0.0482,,1155,72.19,,,0.0
,,0.0442,,1160,72.5,,,0.0
,,0.0428,,1165,72.81,,,0.0
,,0.0447,,1170,73.12,,,0.0
,,0.0448,,1175,73.44,,,0.0
,,0.0448,,1180,73.75,,,0.0
,,0.0432,,1185,74.06,,,0.0
,,0.0425,,1190,74.38,,,0.0
,,0.0442,,1195,74.69,,,0.0
,,0.0441,,1200,75.0,,,0.0
,,0.0437,,1205,75.31,,,0.0
,,0.0432,,1210,75.62,,,0.0
,,0.0464,,1215,75.94,,,0.0
,,0.047,,1220,76.25,,,0.0
,,0.0448,,1225,76.56,,,0.0
,,0.0456,,1230,76.88,,,0.0
,,0.0471,,1235,77.19,,,0.0
,,0.0439,,1240,77.5,,,0.0
,,0.044,,1245,77.81,,,0.0
,,0.0457,,1250,78.12,,,0.0
,,0.0476,,1255,78.44,,,0.0
,,0.0495,,1260,78.75,,,0.0
,,0.0445,,1265,79.06,,,0.0
,,0.0467,,1270,79.38,,,0.0
,,0.0416,,1275,79.69,,,0.0
,,0.0454,,1280,80.0,,,0.0
,,0.0431,,1285,80.31,,,0.0
,,0.0432,,1290,80.62,,,0.0
,,0.0417,,1295,80.94,,,0.0
,,0.0427,,1300,81.25,,,0.0
,,0.0464,,1305,81.56,,,0.0
,,0.0432,,1310,81.88,,,0.0
,,0.043,,1315,82.19,,,0.0
,,0.0453,,1320,82.5,,,0.0
,,0.0433,,1325,82.81,,,0.0
,,0.0444,,1330,83.12,,,0.0
,,0.0421,,1335,83.44,,,0.0
,,0.0415,,1340,83.75,,,0.0
,,0.0431,,1345,84.06,,,0.0
,,0.0449,,1350,84.38,,,0.0
,,0.0446,,1355,84.69,,,0.0
,,0.044,,1360,85.0,,,0.0
,,0.045,,1365,85.31,,,0.0
,,0.042,,1370,85.62,,,0.0
,,0.0448,,1375,85.94,,,0.0
,,0.0423,,1380,86.25,,,0.0
,,0.045,,1385,86.56,,,0.0
,,0.0457,,1390,86.88,,,0.0
,,0.0424,,1395,87.19,,,0.0
,,0.0434,,1400,87.5,,,0.0
,,0.0445,,1405,87.81,,,0.0
,,0.0432,,1410,88.12,,,0.0
,,0.0429,,1415,88.44,,,0.0
,,0.0435,,1420,88.75,,,0.0
,,0.043,,1425,89.06,,,0.0
,,0.0422,,1430,89.38,,,0.0
,,0.0438,,1435,89.69,,,0.0
,,0.0451,,1440,90.0,,,0.0
,,0.0435,,1445,90.31,,,0.0
,,0.0423,,1450,90.62,,,0.0
,,0.0449,,1455,90.94,,,0.0
,,0.0432,,1460,91.25,,,0.0
,,0.0427,,1465,91.56,,,0.0
,,0.0426,,1470,91.88,,,0.0
,,0.045,,1475,92.19,,,0.0
,,0.0447,,1480,92.5,,,0.0
,,0.0429,,1485,92.81,,,0.0
,,0.0405,,1490,93.12,,,0.0
,,0.0441,,1495,93.44,,,0.0
,,0.0418,,1500,93.75,,,0.0
,,0.045,,1505,94.06,,,0.0
,,0.0433,,1510,94.38,,,0.0
,,0.0465,,1515,94.69,,,0.0
,,0.0482,,1520,95.0,,,0.0
,,0.0449,,1525,95.31,,,0.0
,,0.0447,,1530,95.62,,,0.0
,,0.0449,,1535,95.94,,,0.0
,,0.0452,,1540,96.25,,,0.0
,,0.0436,,1545,96.56,,,0.0
,,0.0459,,1550,96.88,,,0.0
,,0.0439,,1555,97.19,,,0.0
,,0.0445,,1560,97.5,,,0.0
,,0.0436,,1565,97.81,,,0.0
,,0.0422,,1570,98.12,,,0.0
,,0.0429,,1575,98.44,,,0.0
,,0.0487,,1580,98.75,,,0.0
,,0.0487,,1585,99.06,,,0.0
,,0.0447,,1590,99.38,,,0.0
,,0.0424,,1595,99.69,,,0.0
,,0.0438,,1600,100.0,,,0.0
0.0843,1497.2126,,1.069,1600,100.0,122783520000000.0,66.791,
