time,epochs,loss,steps,rewards
3019.8561,85.2667,0.0392,1265,1357.3749
3030.2961,85.6,0.0521,1270,886.791
3040.8659,85.9333,0.0466,1275,2045.4703
3051.1375,86.2667,0.038,1280,1870.26
3061.3326,86.6,0.037,1285,1082.0476
3071.4802,86.9333,0.0372,1290,2224.4016
3081.61,87.2667,0.0398,1295,2784.8569
3092.0827,87.6,0.0467,1300,1079.0804
3102.1434,87.9333,0.0389,1305,1782.1617
3112.2125,88.2667,0.0407,1310,3004.3418
3122.6537,88.6,0.0393,1315,2736.3132
3133.0506,88.9333,0.0435,1320,1819.5336
3143.8728,89.2667,0.0388,1325,2073.0845
3154.7163,89.6,0.0351,1330,740.5943
3165.9934,89.9333,0.0382,1335,1051.8684
3176.4535,90.2667,0.0409,1340,946.1265
3187.5679,90.6,0.0403,1345,3052.8081
3197.8575,90.9333,0.0402,1350,2906.9028
3208.5101,91.2667,0.042,1355,2141.2468
3218.9916,91.6,0.0441,1360,2352.156
3230.1812,91.9333,0.0379,1365,2896.4829
3240.6673,92.2667,0.0381,1370,904.7338
3251.2908,92.6,0.0384,1375,1977.2203
3261.4433,92.9333,0.0527,1380,1316.3081
3271.1661,93.2667,0.0467,1385,3209.4556
3281.1869,93.6,0.0381,1390,2285.3384
3291.5901,93.9333,0.0356,1395,2824.1724
3301.8112,94.2667,0.0422,1400,2834.7004
3311.9481,94.6,0.0401,1405,2476.3674
3322.9833,94.9333,0.0377,1410,3520.6829
3333.0392,95.2667,0.04,1415,2299.1785
3343.21,95.6,0.0375,1420,1475.1963
3353.0758,95.9333,0.0435,1425,2185.1304
3362.9858,96.2667,0.0366,1430,1572.4905
3372.9144,96.6,0.0383,1435,1942.719
3382.8897,96.9333,0.0454,1440,1337.051
3392.7992,97.2667,0.044,1445,2954.7532
3402.575,97.6,0.0473,1450,2889.3655
3412.8657,97.9333,0.0399,1455,2321.062
3422.7005,98.2667,0.0406,1460,2163.415
3432.7175,98.6,0.039,1465,1853.7734
3443.2016,98.9333,0.0377,1470,719.7565
3453.0695,99.2667,0.0385,1475,1903.2695
3462.8484,99.6,0.0417,1480,588.1423
3472.836,99.9333,0.0414,1485,2536.9255
3483.2162,100.2667,0.0382,1490,1493.6897
3493.1511,100.6,0.0429,1495,3056.114
3502.881,100.9333,0.0491,1500,1895.3259
