epochs,steps,loss,rewards,time
73.9333,1095,0.0469,1238.0149,2259.2309
74.2667,1100,0.0431,1393.4293,2269.3686
74.6,1105,0.041,1000.0573,2279.4461
74.9333,1110,0.0396,1129.1328,2290.0011
75.2667,1115,0.0404,1503.6526,2299.9876
75.6,1120,0.0416,3108.9751,2310.041
75.9333,1125,0.0424,2599.4019,2320.0124
76.2667,1130,0.0385,3325.2251,2329.9219
76.6,1135,0.0416,1309.1632,2339.9025
76.9333,1140,0.0399,1116.7244,2350.0647
77.2667,1145,0.0488,1485.9467,2360.782
77.6,1150,0.0392,404.9256,2370.8874
77.9333,1155,0.041,1941.4672,2381.6218
78.2667,1160,0.053,2232.9114,2391.697
78.6,1165,0.0391,2072.6414,2402.155
78.9333,1170,0.0389,1297.1201,2412.2136
79.2667,1175,0.0407,1893.571,2422.3473
79.6,1180,0.0396,2476.8296,2432.8094
79.9333,1185,0.0442,1661.5563,2442.7074
80.2667,1190,0.047,1552.6899,2452.6896
80.6,1195,0.0428,1744.3522,2462.769
80.9333,1200,0.0362,2211.3237,2472.9122
81.2667,1205,0.0414,1998.572,2483.4828
81.6,1210,0.0367,3561.9766,2493.4396
81.9333,1215,0.0433,1325.0824,2503.3901
82.2667,1220,0.0404,2836.2603,2514.041
82.6,1225,0.041,2455.1182,2524.0883
82.9333,1230,0.0429,1946.2096,2534.3796
83.2667,1235,0.0374,2572.8042,2544.529
83.6,1240,0.047,1535.8412,2555.0765
83.9333,1245,0.0544,1361.0582,2566.598
84.2667,1250,0.0474,1880.8262,2576.6449
84.6,1255,0.0437,1693.4666,2587.0727
84.9333,1260,0.0505,1763.4508,2597.5451
85.2667,1265,0.0422,1704.4089,2608.2098
85.6,1270,0.0403,2003.3494,2619.2747
85.9333,1275,0.0362,1517.1405,2629.2994
86.2667,1280,0.046,2138.3906,2639.3793
86.6,1285,0.0517,2142.906,2649.312
86.9333,1290,0.0454,2567.2153,2659.7912
87.2667,1295,0.0403,1358.4521,2669.8762
87.6,1300,0.0417,1449.8715,2679.9531
87.9333,1305,0.0383,1799.3359,2690.6146
88.2667,1310,0.046,1943.4153,2700.7771
88.6,1315,0.0415,2286.6121,2713.449
88.9333,1320,0.0406,2246.6523,2723.8395
89.2667,1325,0.045,3268.7754,2734.7436
89.6,1330,0.0389,2008.1106,2745.7636
