time,epochs,loss,steps,rewards
1028.193,76.2667,0.04,1130,4012.4849
1037.3419,76.6,0.041,1135,3990.1821
1045.2459,76.9333,0.0406,1140,3083.8328
1050.3552,77.2667,0.0392,1145,1389.3108
1060.506,77.6,0.0369,1150,4770.7632
1070.3542,77.9333,0.0379,1155,4580.4385
1079.951,78.2667,0.0379,1160,3930.5405
1088.408,78.6,0.0409,1165,3087.6165
1101.6456,78.9333,0.039,1170,4530.6436
1112.7875,79.2667,0.0369,1175,3962.1809
1123.7965,79.6,0.0379,1180,4264.2583
1132.9793,79.9333,0.0396,1185,3487.4329
1142.5752,80.2667,0.0391,1190,3252.9819
1153.4139,80.6,0.0399,1195,3940.4126
1165.4397,80.9333,0.0404,1200,4748.189
1177.9874,81.2667,0.0415,1205,4734.1807
1188.3509,81.6,0.0371,1210,4269.9233
1198.7228,81.9333,0.0394,1215,4746.5776
1209.6538,82.2667,0.0389,1220,4765.7144
1219.6363,82.6,0.038,1225,3858.9263
1229.6464,82.9333,0.0379,1230,4254.6045
1239.8798,83.2667,0.0385,1235,4328.9624
1250.6962,83.6,0.0373,1240,4301.8213
1260.0586,83.9333,0.0374,1245,3898.6296
1270.8471,84.2667,0.0409,1250,4142.8169
1282.8051,84.6,0.0385,1255,4751.0947
1292.4005,84.9333,0.0364,1260,3903.1133
1303.9042,85.2667,0.0387,1265,4770.8398
1315.3971,85.6,0.0372,1270,4689.3032
1326.869,85.9333,0.0392,1275,4536.6748
1337.7266,86.2667,0.0354,1280,4666.314
1349.8374,86.6,0.0371,1285,4763.8652
1360.7042,86.9333,0.0503,1290,4777.3169
1370.5701,87.2667,0.0355,1295,4046.677
1380.917,87.6,0.0406,1300,4161.8232
1392.261,87.9333,0.0474,1305,4768.4497
1403.0365,88.2667,0.0397,1310,4409.5435
1413.5237,88.6,0.0402,1315,4022.3608
1422.6679,88.9333,0.0376,1320,3676.532
1432.4331,89.2667,0.0385,1325,3882.2163
1444.0383,89.6,0.0381,1330,4770.8506
1456.2523,89.9333,0.038,1335,3989.8867
1467.1681,90.2667,0.0355,1340,4293.5283
1477.9261,90.6,0.0418,1345,4016.1226
1489.0103,90.9333,0.038,1350,4771.2461
1499.9245,91.2667,0.0376,1355,4701.3931
1508.395,91.6,0.0355,1360,3128.9573
1520.5029,91.9333,0.0388,1365,4767.9805
1531.9224,92.2667,0.0355,1370,4715.3247
1541.5547,92.6,0.041,1375,4051.9067
1554.1118,92.9333,0.0416,1380,4406.71
1567.2667,93.2667,0.0406,1385,3954.1746
1579.8321,93.6,0.04,1390,4437.772
1590.6367,93.9333,0.0397,1395,3915.2532
1601.0575,94.2667,0.0365,1400,4573.2607
1612.0856,94.6,0.0395,1405,4759.1162
1624.1569,94.9333,0.0355,1410,4784.6157
1635.1116,95.2667,0.038,1415,4726.7568
1644.5395,95.6,0.0371,1420,3201.7798
1657.9711,95.9333,0.0445,1425,4363.3296
1668.7751,96.2667,0.0359,1430,2953.1072
1679.6013,96.6,0.0357,1435,3604.7622
1690.608,96.9333,0.0396,1440,3967.5977
1703.2712,97.2667,0.041,1445,4788.855
1715.1893,97.6,0.0392,1450,4841.561
1724.1906,97.9333,0.0453,1455,3588.7065
1733.9086,98.2667,0.0385,1460,3970.3386
1743.5579,98.6,0.0352,1465,3965.0593
1753.244,98.9333,0.0406,1470,3780.7422
1764.7647,99.2667,0.0357,1475,4775.2314
1773.981,99.6,0.037,1480,3689.5293
1783.921,99.9333,0.0398,1485,3966.3503
1794.7213,100.2667,0.0346,1490,4757.4092
1804.197,100.6,0.0372,1495,3742.2844
1815.0734,100.9333,0.0356,1500,4636.8433
