time,epochs,loss,steps,rewards
977.9627,74.6875,0.0928,1180,785.7352
983.0404,75.0,0.0995,1185,932.4401
990.8596,75.3125,0.0938,1190,1839.7379
997.5091,75.625,0.0934,1195,1653.9465
1005.2432,75.9375,0.0973,1200,1643.8359
1011.1417,76.25,0.0956,1205,1389.3307
1016.3155,76.5625,0.0989,1210,1367.6993
1020.4042,76.875,0.094,1215,872.9614
1024.7022,77.1875,0.0944,1220,950.4956
1030.2779,77.5,0.0956,1225,1679.0378
1034.6959,77.8125,0.0999,1230,1095.267
1038.8398,78.125,0.0997,1235,911.7878
1043.0247,78.4375,0.0979,1240,1005.726
1049.1397,78.75,0.0992,1245,1823.9215
1054.0562,79.0625,0.0971,1250,1000.7054
1058.4578,79.375,0.0896,1255,1057.5305
1062.4817,79.6875,0.0928,1260,913.5557
1069.5275,80.0,0.0896,1265,1882.151
1073.537,80.3125,0.1002,1270,911.6808
1078.534,80.625,0.0938,1275,1264.0215
1082.721,80.9375,0.0914,1280,788.8458
1086.8827,81.25,0.0957,1285,878.8301
1091.6723,81.5625,0.0905,1290,1183.6066
1096.2295,81.875,0.0906,1295,1089.4609
1100.5853,82.1875,0.0982,1300,1042.2747
1105.9405,82.5,0.0972,1305,1561.7869
1110.1727,82.8125,0.0961,1310,1033.5657
1114.5647,83.125,0.0906,1315,1033.2283
1119.5633,83.4375,0.0993,1320,1297.8092
1123.8532,83.75,0.0885,1325,1089.1216
1129.6413,84.0625,0.0968,1330,1692.9615
1133.3232,84.375,0.0968,1335,804.1588
1138.5309,84.6875,0.1006,1340,1527.3669
1142.5995,85.0,0.1017,1345,978.3215
1147.1604,85.3125,0.0953,1350,1174.7716
1151.0724,85.625,0.1006,1355,928.7825
1155.1098,85.9375,0.0892,1360,983.726
1160.8489,86.25,0.0907,1365,1627.5791
1165.5416,86.5625,0.0982,1370,1052.3057
1170.2461,86.875,0.0899,1375,1008.2106
1174.9909,87.1875,0.0968,1380,1040.6047
1179.6989,87.5,0.0945,1385,1060.5608
1184.4636,87.8125,0.0915,1390,1147.0361
1188.8341,88.125,0.0853,1395,1011.0358
1193.252,88.4375,0.0955,1400,981.0171
1198.2639,88.75,0.0993,1405,1325.4075
1203.9122,89.0625,0.0972,1410,1344.1042
1208.515,89.375,0.101,1415,983.1703
1212.9792,89.6875,0.0957,1420,1010.7323
1217.1359,90.0,0.0909,1425,955.8943
1221.4274,90.3125,0.0882,1430,957.233
1226.1118,90.625,0.0913,1435,1212.5278
1230.6582,90.9375,0.0907,1440,1182.52
1235.0359,91.25,0.096,1445,1125.1754
1239.2464,91.5625,0.0918,1450,1065.5063
1243.4211,91.875,0.0897,1455,959.2723
1247.7217,92.1875,0.0991,1460,1030.4192
1253.5944,92.5,0.0965,1465,1653.2849
1257.3786,92.8125,0.0988,1470,805.7356
1261.8412,93.125,0.0962,1475,1129.1996
1267.2458,93.4375,0.0938,1480,1479.9465
1272.1399,93.75,0.0904,1485,1288.4596
1276.0,94.0625,0.0866,1490,852.4899
1281.7878,94.375,0.0881,1495,1853.024
1285.909,94.6875,0.0851,1500,952.2306
1290.7994,95.0,0.0917,1505,1367.5637
1295.464,95.3125,0.0895,1510,1266.4973
1299.9296,95.625,0.0918,1515,1200.3679
1304.5826,95.9375,0.0946,1520,1278.047
1308.7243,96.25,0.0952,1525,1004.8433
1313.1341,96.5625,0.083,1530,1125.5748
1316.8952,96.875,0.0932,1535,864.0734
1320.6482,97.1875,0.0904,1540,813.0224
1326.14,97.5,0.088,1545,1619.5028
1330.4897,97.8125,0.0861,1550,1071.9753
1334.521,98.125,0.0951,1555,931.3499
1339.563,98.4375,0.0844,1560,1461.7405
1345.363,98.75,0.0904,1565,1680.0115
1349.2533,99.0625,0.0917,1570,890.0305
1354.5129,99.375,0.0915,1575,1438.8611
1358.335,99.6875,0.0892,1580,850.6893
1362.0627,100.0,0.0865,1585,740.7004
1368.2271,100.3125,0.0908,1590,1856.636
1372.8922,100.625,0.0894,1595,1149.5558
1378.5674,100.9375,0.0919,1600,1551.3264
