loss,rewards,time,steps,epochs
0.0451,225.2836,1970.4816,960,64.9333
0.0436,614.5868,1980.2848,965,65.2667
0.0459,668.319,1990.1796,970,65.6
0.0438,666.3204,2000.0511,975,65.9333
0.0433,547.6757,2010.3853,980,66.2667
0.0469,840.3358,2020.8737,985,66.6
0.0454,694.4434,2030.6018,990,66.9333
0.0414,395.3252,2041.0056,995,67.2667
0.0447,605.87,2051.3278,1000,67.6
0.0428,561.7911,2062.3221,1005,67.9333
0.0423,674.0782,2072.4477,1010,68.2667
0.0456,477.6074,2082.3397,1015,68.6
0.0458,890.0496,2092.3288,1020,68.9333
0.0402,525.8636,2102.145,1025,69.2667
0.0475,677.956,2112.8828,1030,69.6
0.0478,1168.1559,2122.7929,1035,69.9333
0.0472,692.101,2132.8008,1040,70.2667
0.0535,1770.2848,2143.6795,1045,70.6
0.052,734.3969,2153.4963,1050,70.9333
0.0493,982.0355,2163.5769,1055,71.2667
0.0494,655.8198,2173.7339,1060,71.6
0.05,1190.9241,2183.5078,1065,71.9333
0.0446,273.308,2193.6049,1070,72.2667
0.0417,825.3408,2203.4786,1075,72.6
0.0449,509.6833,2213.31,1080,72.9333
0.0536,296.6257,2223.5307,1085,73.2667
0.0448,462.7921,2233.4252,1090,73.6
0.0508,559.2902,2243.3182,1095,73.9333
0.0447,631.5413,2253.464,1100,74.2667
0.0517,588.546,2263.3562,1105,74.6
0.0534,630.9966,2273.3052,1110,74.9333
0.0473,707.4244,2283.096,1115,75.2667
0.0552,901.5692,2293.3853,1120,75.6
0.0469,705.7635,2303.6547,1125,75.9333
0.041,299.4423,2313.5768,1130,76.2667
0.0451,426.1807,2323.3475,1135,76.6
0.047,776.5052,2333.2295,1140,76.9333
0.0543,450.8897,2343.0841,1145,77.2667
0.043,1140.9188,2353.4386,1150,77.6
0.0507,504.3438,2363.1879,1155,77.9333
0.0435,690.0261,2373.3417,1160,78.2667
0.0417,493.224,2383.8359,1165,78.6
0.0445,515.3563,2393.7869,1170,78.9333
0.0388,657.5851,2404.7712,1175,79.2667
0.0478,651.4591,2415.0829,1180,79.6
0.0407,817.2836,2425.3087,1185,79.9333
0.0458,506.7043,2435.4131,1190,80.2667
0.0477,621.4214,2445.3896,1195,80.6
0.0529,933.2871,2455.3689,1200,80.9333
0.0454,1497.5471,2465.2474,1205,81.2667
0.0503,1013.9059,2476.0416,1210,81.6
0.04,663.6857,2486.4801,1215,81.9333
0.0476,1056.5251,2496.6547,1220,82.2667
0.0456,736.1649,2507.0847,1225,82.6
0.0448,758.7765,2516.9122,1230,82.9333
0.0428,749.7786,2526.7433,1235,83.2667
0.0469,1293.8857,2537.0164,1240,83.6
0.0443,689.4163,2547.2236,1245,83.9333
0.0416,700.6706,2558.2969,1250,84.2667
0.0437,902.6332,2568.6236,1255,84.6
0.0452,1198.2748,2578.8775,1260,84.9333
0.0468,814.8849,2589.6377,1265,85.2667
0.0401,452.7892,2599.9648,1270,85.6
0.0443,707.9933,2610.1041,1275,85.9333
0.0394,1211.3115,2620.0063,1280,86.2667
0.0413,650.4344,2629.8616,1285,86.6
0.055,1393.3121,2639.9948,1290,86.9333
0.0476,1558.793,2650.045,1295,87.2667
0.0417,1493.3894,2659.9018,1300,87.6
0.0467,505.3247,2670.034,1305,87.9333
0.0446,563.2574,2680.0603,1310,88.2667
0.0424,360.5724,2690.1076,1315,88.6
0.0409,724.7502,2699.8482,1320,88.9333
0.0415,1569.5292,2710.1778,1325,89.2667
0.0403,1153.8584,2720.3015,1330,89.6
0.0412,539.2837,2730.8559,1335,89.9333
0.0425,758.1359,2740.589,1340,90.2667
0.0416,667.1925,2750.4312,1345,90.6
0.0475,1119.3994,2760.9254,1350,90.9333
0.0427,524.7827,2771.2371,1355,91.2667
0.0472,660.1638,2781.0345,1360,91.6
0.0396,769.7098,2791.2218,1365,91.9333
0.0404,822.6945,2801.3203,1370,92.2667
